Author;Date;Reaction;Comment
خضيكم من بعيد;الأربعاء 1 نونبر 2023 - 06:08;-1;"السؤال المطروح
لماذا الإضراب على المدارس العمومية ؟
بينما يتابعون مزاولة التدريس بالمدارس الخاصة"
عبد ربه;الأربعاء 1 نونبر 2023 - 11:02;1;المطلب الأساسي والأولى هو إسقاط نظام العبودية نظام المآسي ويأتي مطلب تحسين الوظعية المادية لهيئة التدريس في المرتبة التانية.
عبد الله;الأربعاء 1 نونبر 2023 - 15:41;-1;الأستاذ الحالي يتقاضى أجور ضخمة مقابل أساتذتنا الذين كانوا يتقاضون أجورا هزيلة لكنهم كانوا في المستوى، قبل 1990 من القرن الماضي، كان اجر الستاذ لا يتجاوز 3000 درهم؛ لكن للاسف، الأستاذ الان في بدايته يتقاضى اكثر من 5000 درهم أما صاحب السلم 11 الذين هم غالبية الاساتذة فيتقاضون أكثر من 15000 درهمن في حين العامل الذي يعمل في مصانع السيارات والأسلاك أجره لا يتجاوز 3000 درهم؛ فهل يجوز المقارنة بين هؤلاء وأولائك، ذلك أن الساتذة يستغلون كثرتهم العددية فينزلون للشوارع ضد الوطن وابناء الوطن، ضد الشعب الذين ينخرون ميزانيته بدون نتيجة تذكر، هل رايتم استاذ أبدع وأنتج منتوج لصالح الدولة اللهم إلا الاضراب، في الدولة المتقدمة تجد الأساتذة مخترعين على رؤوسهم أساتذة الصين ثم الأمريكيين، آخر ما أنتجوا روبو يحل جميع أبواب المنازل المقفلة ثم الصين أنتجت برنامج يترجم لغتها إلى اكثر من 200 لغة ونحن نتجون الاضرابات بالمقابل والسلام.
محارب عسكري. متقاعد;الأربعاء 1 نونبر 2023 - 17:55;1;ماذا نقول نحن المتقاعدين العسكريين. الذين أدينا الواجب الوطني. وصخينا بأنفسنا في سبيل الوطن. وها نحن تتقاضى. معاش هزيل. لا زيادة. لا هم يحزنون
مغربية;الخميس 2 نونبر 2023 - 06:26;0;"ردا على تعليق المقيم بامريكا
لاتتحدث فيما ليس لك به دراية،الأستاذ له الحق في المطالبة بحقوقه مثله مثل اي مواطن"
أجرة استاذ مبتدئ5000 درهم أقل من ممرض و وو;الخميس 2 نونبر 2023 - 13:18;0;"كل الفطاعات استفادت من الزيادة ب 2000 درهم. و 3000 درهم باستثناء الاستاذ ههه حشوما ..
الاستاذ هو الذي علم الكل بما فيهم الوزير عندما كان في الابتدائي ووو..
كولشي زادوه إلا الاستاذ الاجرة 5000. درهم. حشوما ..استاذ بالدارالبيضاء أقسم بالله سيطلب الصدقة ..الكراء 3000. درهم. الماء الكهرباء 500 درهم بقي 1500. درهم ياكل البيصارة و أتاي.
بهذا الشكل الاستاذ لن يكون مردوده جيدا.
قطاعات أخرى لهم سيارات تستغل خارج اوقات العمل و تعويضات و هاتف أيفون وووو.
أسبانيا اجرة الاستاذ 3120 أورو. البرتغال 3200 و المغرب 5000 درهم ..زعما حشوما والله.
للاشارة الاستاذ معندوش مليون خاصو 15 عام عاد يوصلها..شي مكلخين كايقولو هاكا.
انا استاذ متزوج و جوج ولاد عندي 6000 درهم بعد 11 سنة خدمة ..كاين فالصحة و العدل كايبداو ب 7000 درهم.
حشوما"
Author;Date;Reaction;Comment
المصطفى;الإثنين 30 أكتوبر 2023 - 17:17;-233;يجب وضع كاميرات مراقبة داخل القسم للوقوف على مردود الأستاذ و حسن سير الدروس. أبناء الفقراء في خطر .
أبو إسحاق;الإثنين 30 أكتوبر 2023 - 17:23;197;"منذ ثلاثة عقود وانا أسمع إصلاح التعليم وهو في الحقيقة يسوء يوم بعد يوم ؟!
لماذا لا نجرب ولو مرة واحدة إفساده، ربما يتحسن…من يدري"
متقاعد;الإثنين 30 أكتوبر 2023 - 17:23;104;التعليم وما أدراك ما التعليم ، ومن خذل أو تهاون أو نص قانونا خارج مصلحة أبناء الوطن فقد خان البلد ، الجد والجدية في العمل والقرار هو أساس النجاح . ..
rabia;الإثنين 30 أكتوبر 2023 - 17:23;-56;نقابة التعليم الحكومة كتجتامع معاهم في كل نضال وشروط وباقي القطاعات حتى طلبها لانعقاد الجلسات الحوارية غير مسموح و لا حياة لمن تنادي .. الحكومة كيعجبها لي يحبد ليها لوذنين مرة مرة …
تربوي;الإثنين 30 أكتوبر 2023 - 17:26;-146;"هناك من يريد لي ذراع الدولة مثل تنسيقيات المتقاعسين التي يقودها العدليون والراديكاليون اعداء مصلحة المغرب والمغاربة.
اللهم من أراد بابناء هذا البلد من التلاميذ الابرياء شرا فاجعل كيده في نحره."
استاذ متقاعد;الإثنين 30 أكتوبر 2023 - 17:26;125;باختصار النقابات لم تكن ولحد الآن لا تمثل رجال التعليم.لذا يجب التشاور والحوار مع من يهمهم الأمر وهم أغلبية.
يوسف;الإثنين 30 أكتوبر 2023 - 17:28;92;نداء لرئاسة الحكومة بتلبية مطالب الشغيلة التعليمية وذلك بالزيادة في الأجور، وتعديل النظام الأساسي وذلك بسحب لائحة العقوبات وتسريع الترقية لخارج السلم وإلغاء الساعات التضامن وتحديد ساعات العمل 24 س للابتدائي ….
محمد;الإثنين 30 أكتوبر 2023 - 17:29;-117;الحكومة ماضية في الاتجاه الصحيح تسعى لخلق الحلول الناجعة و لهدف واحد
حبيبة;الإثنين 30 أكتوبر 2023 - 17:30;-121;كل الشكر الجزيل للحكومة التي لازالت إيجابية وواعدة بالتقدم في مسار خدمة المواطن وتعزيز مناخ الثقة
خالد عبد الله;الإثنين 30 أكتوبر 2023 - 17:31;-106;الحكومة الحالية تبرز إرادة سياسية إصلاحية قوية تتمثل على الخصوص في مواصلة الإصلاحات
شيماء وجيه;الإثنين 30 أكتوبر 2023 - 17:31;-111;الحكومة في طريق الإصلاح و علينا أن نتفائل ، لأنها تدار عملها بكفاءة و علم و حسن التدبير و الاستباقية
معاد;الإثنين 30 أكتوبر 2023 - 17:32;-106;لا يمكننا نكران ان الحكومة تشتغل على خلق مجلس الأمن الطاقي من أجل التتبع الدقيق للوضعية الطاقية في البلاد في كل المجالات
يونس بن الصغير;الإثنين 30 أكتوبر 2023 - 17:32;-101;الحكومة تعمل على التدبير المعقلان و تسعى جاهدا إلى ضمان استقرار الأوضاع
متتبع;الإثنين 30 أكتوبر 2023 - 17:33;-79;نتمنى لهم التوفيق والنجاح في مهاماتهم بصدق وأمانة كما أراد صاحب الجلالة الملك محمد السادس نصره الله
الحلاق تركماني;الإثنين 30 أكتوبر 2023 - 17:33;-77;بالتوفيق والنجاح وفقكم الله لخدمة الوطن والمواطنين
Reda;الإثنين 30 أكتوبر 2023 - 17:37;57;وليداتنا  فالباك   الاضربات  بزاف  ديال الدروس مايقراوهومش يعني ضاعو التلاميذ  الله  ياخذ الحق
متتبع;الإثنين 30 أكتوبر 2023 - 17:37;95;"مرحلة ثانية من مفاوضات أوسلو لربح الوقت .
اجتماع تلو اجتماع و النتيجة الاجهاز على ما تبقى من حقوق للمدرسة العمومية ."
Houda;الإثنين 30 أكتوبر 2023 - 17:37;-75;الحمد الله هذه إجراءات هامة ستقوم بإصلاح القطاع التعليم وتشجيع التلاميذ على الدراسة و كذلك توفير جميع متطلبات الأستاذة
حسن;الإثنين 30 أكتوبر 2023 - 17:38;86;انا اب ل 6 اطفال عمري خمسين سنة لم اتظهار مرة واحدة في حياتي لكن الان بات من الواضح انني مجبر على التظاهر ضد حكومة غير مسؤولة خصوصا في ما يتعلق بالتعليم.
Naima;الإثنين 30 أكتوبر 2023 - 17:39;44;العطب يمكن اصلاحه و متابعة الطريق تعليمنا ليس معطوبا و لكنه معطل و اصلاحه يستوجب استبدال قطع الغيار التي تهالكت و لم تعد تساير العصر.
Doaa;الإثنين 30 أكتوبر 2023 - 17:40;-72;سي عزيز اخنوش يعمل بمنهجية عمل واضحة و الاهتمام بتكوين و تحسين الظروف المعيشية للموارد البشرية و اصلاح التعليم المادية و المعنوية
Fati;الإثنين 30 أكتوبر 2023 - 17:41;-60;رجال الدولة الذين يعالجون قضايا التعليم ويهتمون بها بحرقة يتمتعون بحس وطني عال وببعد نظر قل نظيره، لأن التعليم هو قلب جميع المجالات وهو المحرك الفعلي والمباشر للتنمية المستدامة.
أستاذ;الإثنين 30 أكتوبر 2023 - 17:42;54;جعجعة بلا طحين.. الحل هو التصعيد و الاضراب المفتوح يلوح في الافق الحكومة تريد ربح الوقت و المماطلة
كريم;الإثنين 30 أكتوبر 2023 - 17:47;-45;مافهمت انا علاش هادشي كامل بغيتو الحقوق طالبهم ولكن هاد تلاميذ قريوهم واه ديما الاضراب ماشي معقول هادشي
كريم;الإثنين 30 أكتوبر 2023 - 17:49;-43;الحكومة تسعى لايجاد حل جدري الدي يرضي الطرفين ونحن على ثقة كاملة في هده الحكومة لتحقيق المبتغى وارجاع الاساتدة الى فصوليهم الدراسية
مروان;الإثنين 30 أكتوبر 2023 - 17:51;-34;الحكومة ستواصل الاصلاح الحقيقي لقطاع التعليم بدون خلقية الديولوجية والحكومة تلجأ للحوار مع النقابات لوضع حلول التي تنصيف الطرفين
اب تلميذ;الإثنين 30 أكتوبر 2023 - 17:51;45;على ما يبدو النقابات التي اجتمعت مع رئيس الحكومة لم تعد تمثل إلا نفسها ،أما إصلاح التعليم كذبة يجري وراءها الجميع ،والكل لا تهمه إلا مصلحته.
simo;الإثنين 30 أكتوبر 2023 - 17:52;36;لقاء يمهد لبداية الإقتطاعات. لقد ادعوا فتح النقاش وهي بداية التحايل
Fatima;الإثنين 30 أكتوبر 2023 - 17:54;-15;ينبغي أن نتذكر دائمًا أن دورنا يتعلق بتهيئة المستقبل للطلاب، وعلينا أن نعمل بروح المسؤولية والحكمة لتحقيق ذلك بأفضل طريقة ممكنة.”
Jawad;الإثنين 30 أكتوبر 2023 - 17:54;29;يتطلب الأمر تقديم الحلول العادلة والمتوازنة التي تحفظ حقوق المعلمين وتضمن استمرارية تحصيل الطلاب وتطورهم المستقبلي
عزيز فاس;الإثنين 30 أكتوبر 2023 - 17:54;36;هذه النقابات لم تعد لها شرعية تمثيل الأساتذة، يجب فتح باب الحوار الجاد و المسؤول مع الممثلين الشرعيين و الواقعيين للأساتذة و إلا فإن غضب الأستاذ آت .
Omar;الإثنين 30 أكتوبر 2023 - 17:55;25;التفاهم والحوار المستمر يمكن أن يساعدان في إيجاد حلول بناءة تحقق مصلحة الطلاب وتلبي مطالب المعلمين في نفس الوقت
خالد;الإثنين 30 أكتوبر 2023 - 17:55;-37;عيقو بزاف كل مرة الاضراب ديرو بعدا خدمتكم او ديك ساعة طالبو حقوقكم أيام لمخدمينش ماشي تشوفو غير ريسكم الانانية بزاف او ولاد الناس اكلسو بلا قراية
جواد;الإثنين 30 أكتوبر 2023 - 17:55;20;يجب أن نعمل معًا كفريق واحد لضمان استمرارية عملية التعلم وتعزيز فرص النجاح والتطور لجميع الطلاب دون استثناء
Bahim;الإثنين 30 أكتوبر 2023 - 17:56;-35;الله يهدي هذا الاساتذة التلاميذ هم الفئة الاكثر تضرر فهادشي
Salima;الإثنين 30 أكتوبر 2023 - 17:56;-17;نحن مسؤولون عن تهيئة بيئة تعليمية مستقرة ومحفزة، حيث يمكن للطلاب تحقيق إمكانياتهم الكاملة دون أي تأثير سلبي ناتج عن الإضرابات
Imane;الإثنين 30 أكتوبر 2023 - 17:57;-18;يجب علينا أن نتخذ خطوات حكيمة ومحسوبة لضمان عدم تعرض التعلم وتحصيل الطلاب للتأثير السلبي بسبب أي تعطيل في العملية التعليمية.
Hafida;الإثنين 30 أكتوبر 2023 - 17:58;-31;الاساتذة ماعندهومش حس المسؤولية الايام كتفوت او هما باقين في الاضرابات
Janat;الإثنين 30 أكتوبر 2023 - 17:58;-15;التوازن بين مطالبنا المهنية ومصلحة الطلاب يجب أن يكون هدفنا الأساسي، حيث ينبغي علينا أن نعمل معًا لتحقيق هذا التوازن بأفضل طريقة ممكنة
الهام;الإثنين 30 أكتوبر 2023 - 17:58;-10;السيد رئيس الحكومة عجلة بهدا الحوار مع النقابات الايجاد حلول مستعجلة للحد من كثرة الاضرابات المتتالية الدي ضحيته التلميد ونتمنى من الحكومة أن تنصف الاساتدة
Zohra;الإثنين 30 أكتوبر 2023 - 17:58;-12;يجب أن نتذكر دائمًا أن الطلاب هم الأساس والهدف الأسمى لجهودنا، وأن أي تعطيل قد يؤثر على تحصيلهم وتطورهم المستقبلي.”
Jamal;الإثنين 30 أكتوبر 2023 - 17:58;-23;شكرا على هذا المجهودات كنتمناو تلقاو حل باش التلاميذ مايزيدوش يضيعو فدروسهم بسبب بعد الاساتذة لي كيهمهم غير راسهم ولاد الشعب يقراو ولا ميقراوش ماشي مهم
Habiba;الإثنين 30 أكتوبر 2023 - 17:59;-12;ينبغي علينا أن نتعامل بحكمة وتوازن في مطالبنا، مع الحفاظ على استقرار العملية التعليمية وتحقيق مصلحة الطلاب في كل الأوقات
Lmai;الإثنين 30 أكتوبر 2023 - 17:59;-8;التلاميذ هم اكبر متضررين فهذا المشكل مكرهناكم تضافرو جهودكم أكثر
نور;الإثنين 30 أكتوبر 2023 - 18:00;-9;كنشكروكم على مجهوداتكم المتواصلة من اجل وليداتنا و مستقبلهم منتمناو تلقاو حل فاقرب وقت ممكن
فهد;الإثنين 30 أكتوبر 2023 - 18:01;-11;الحكومة دايرة جهدها باش ولادنا ميضيعوش كنتمناو هذا المشكل يتحل
فاتي;الإثنين 30 أكتوبر 2023 - 18:01;-13;شكرا على هذا المجهودات المبذولة ولاكن كنتمناو تلقاو حل فاسرع وقت حيت التلاميذ كيفوتوهوم الدروس و الاساتذة مامسوقينش
امين;الإثنين 30 أكتوبر 2023 - 18:02;-7;حنا فاهمين غضب الاساتذة ولاكن راه التلاميذ كيضيعو و دروس كتفوتهوم قريوهم بعدا او طالبو بحقوقكم في نفس الوقت
مصطفى;الإثنين 30 أكتوبر 2023 - 18:07;-13;الحكومة ماضية في الطريق الصحيح وتسعى لاصلاح المنظومة التعليمية بشتى الطرق والحوار مع النقابات سيعطي حل يرضي الطرفين ونتمنى من الاساتدة المتضاربين مراعاة التلميد الامه هو ضحية هاته الاضرابات
عصام;الإثنين 30 أكتوبر 2023 - 18:09;-17;كطالبو بحقوققهم او هما حق اولى مكيديروش خدمتهم او كيخليو الاضراب ديما فالايام دراسة حشومة شنوذنب الاطفال او كتستغلو هاد نقطة باش ديرو ضغظ لكسب مبتغاتكم اين صدق في العمل مع الاسف
حميد;الإثنين 30 أكتوبر 2023 - 18:11;-19;ديرو خدمتكم اوكافحو او ديك ساعة عندكم حق طالبو ليبغيتو خيت درتو جهدكم اما دابا غير تفليات كل مرة اضراب عيب هادشي
محمد;الإثنين 30 أكتوبر 2023 - 18:15;-5;"الحكومة قررت سحب القانون الأساسي و مراجعته بتوافق مع ممثلي شغيلة التعليم ليكون قانون عادل و محفز لضمان جودة التعليم.
التعاليق السلبية لا فائدة . الحكومة تعمل لما فيه خير لهذا البلد.نطلب من الله التوفيق."
سعيدة;الإثنين 30 أكتوبر 2023 - 18:36;-15;هاد الاضربات كثاروو بزاف حتى بسالو والمشكل ولادنا هوما لي كيضيعو
حسين;الإثنين 30 أكتوبر 2023 - 18:37;-14;كنشوفو بلي الحكومة  عندها رغبة من أجل الارتقاء بمستوى قطاع التعليم  وهاذ أمر ايجابي غير هو خاص نيت عمل كبير باش يمكن الارتقاء بهاذ القطاع إلى المستوى المطلوب
اكرام;الإثنين 30 أكتوبر 2023 - 18:37;-16;الاساتذة ديال دابا كنشوف فيهم واحد نوع د الانانية  هزين الهم غير ريوسهم اما اولاد شعب لهلا إقري باباهم
امين;الإثنين 30 أكتوبر 2023 - 18:38;-15;هادشي عيب ولادنا ضيعين وهوما الضحايا ،ماشي مشكل إحتاجو ويطلبو على حقهم ولكين إقريو هو الاول ميكونوش ولادنا ضحايا د هادشي
سكينة;الإثنين 30 أكتوبر 2023 - 18:38;11;على الحكومة  العمل على اصلاح قطاع التعليم  عبر وضع استراتيجية ترقى إلى تطلعات الأساتدة والتلاميذ  وتشجيعهم على الاستمراريا
صفاء;الإثنين 30 أكتوبر 2023 - 18:39;-15;قطاع التعليم  بالمغرب يحتاج إلى إعادة النظر فالطريقة والاستراتيجية باش كيتدبر حيث مبقاتش كتماشى مع التلميذ المعاصر الحالي، وهادشي لي كتحاول  الحكومة الحالية ديروو  .
سماعيل;الإثنين 30 أكتوبر 2023 - 18:39;7;يجب على الحكومة الحالية مضاعفة مجهوداتها على مستوى قطاع التعليم  من أجل تجاوز الاكراهات التي يعيشها هذا القطاع منذ سنوات.ليس من سهل ذلك لكن من أجل مصلحة أبنائنا
عبدو عتيق;الإثنين 30 أكتوبر 2023 - 18:41;8;حيث وسوف ثم سوف سيتم في هذا الإطار عقد اجتماعات لاحقة . إنه التسويف
zemmour;الإثنين 30 أكتوبر 2023 - 18:47;14;للأسف الشديد لم يتم الوفاء بمخرجات الحوار الذي انتهى باتفاق 14 يناير . التعليم في حاجة لإصلاح جدري، ونساء ورجال التعليم يحتاجون لتحفيز مادي، نظير المجهودات الجبارة التي يقومون بها، وهم أساس إنجاح كل مخططات وبرامج الوزارة، وبدون تحسين وضعهم المادي، لن تستقيم الأمور، وستستمر المدرسة العمومية في النزول إلى الهاوية…..عكس ما يعتقده البعض، فالسواد الأعظم من الأطر التربوية، يعيشون على حافة الفقر.
بنعبدالسلام;الإثنين 30 أكتوبر 2023 - 19:00;15;ما لاحظناه مؤخرا أن فئة من الموظفين تم تغيير نظامهم الأساسي بتغيير تسمية هذه الفئة من “مساعد طبي” إلى “ملحق علمي” فتبرعت عليهم الحكومة بزيادة في التعويضات تقدر ب 1800درهما. بينما تم إحداث نظام أساسي لموظفي التعليم ولم يحتوي هذا النظام الجديد ولو على درهم رمزي كزيادة في الراتب ،بل كل ما يحتوي عليه هو البلاغة في التعبير والفصاحة في الخطاب والفضفاضة في الكلام وكلمات رنانة تشبع وتغني من جوع.
bergacherizla;الإثنين 30 أكتوبر 2023 - 19:08;8;هذه النقابات لا تمثلنا نريد حوارا مع التنسيقية
Morad;الإثنين 30 أكتوبر 2023 - 19:13;-10;التعليم يجب أن يكون مسؤولية مشتركة للجميع، ونحن بحاجة إلى العمل معًا لتحقيق التقدم. لنكن متفهمين ومتعاونين من أجل بناء نظام تعليمي أفضل . الاضراب ليس هو الحل . الله يهديكم راه غي وليداتنا لي كايضيعو واش الحل هو تخليو ولاد الناس اضورو فالزناقي
Redwan;الإثنين 30 أكتوبر 2023 - 19:14;-9;أش هاد المهزلة ولينا فيها .براكة من الاضرابات ولاد الناس هما اللي كيدفعو الثمن ديال هاد الأزمة.
Aicha;الإثنين 30 أكتوبر 2023 - 19:14;4;نأمل أن يتم حل النزاعات بشكل بناء لضمان استمرار التعليم. حيت وليداتنا لي متضررين
Mohamed;الإثنين 30 أكتوبر 2023 - 19:16;4;نتمنى منكم التواصل والحوار لمعالجة القضايا التعليمية والوصول إلى حلول . لانه شحال قد وليداتنا ابقاو بلا قراية
Hertzel;الإثنين 30 أكتوبر 2023 - 19:16;-2;اذا كانت ارادة حقيقية لاي منكم لمعرفة مدى السوء ز الفشل الذي وصل له التعليم ومنتجاته البئيسة فلينظر الى التعليق رقم 1.
Mouhamed;الإثنين 30 أكتوبر 2023 - 19:22;-12;واش حنا نبقاو غير فهاد الاضرابات قروا ولادنا او طالبوا ديك ساعة بالحقوق ديالكم مكاين باس
Mouhsine;الإثنين 30 أكتوبر 2023 - 19:23;-5;نتمناو الحل لهاد الإضرابات لكاينين ولادنا لضايعين بهاد الاضرابات
Ahmed;الإثنين 30 أكتوبر 2023 - 19:24;-8;اضرابات بزاف نتمناو القاو الحل لهادشب حيت ولادنا ضايعين او الاساتدة مامسوقين لهادشي
Farah;الإثنين 30 أكتوبر 2023 - 19:29;-8;اضرابات بزاف نتمناو القاو الحل لهادشب حيت ولادنا ضايعين او الاساتدة مامسوقين لهادشي
Moustafa;الإثنين 30 أكتوبر 2023 - 19:31;-2;إضرابات بزاف هاد السنة نتمناو القاو الحل لهادشي باش ولادنا اقراو قرايتهم
رشيد طنجة;الإثنين 30 أكتوبر 2023 - 19:39;12;هل تعلمون ان الاستاذ في اسلاندا يتقاضى اجر احسن من الطبيب والمهندس .والكل يريد ان يكون استاذا ولكن ليس في متناول الكل سوى الافضل.لان تلك الشعوب تعرف قدر التعليم وانه هو مستقبل البلاد.الاساتذة يتم توفير لهم كل متطلباتهم ليتمكنوا من اعطاء الافضل .لان تعليم الاجيال الصاعدة هو راس مال اي دولة تحب ان تكون بين ارقى الدول .
Ahmed;الإثنين 30 أكتوبر 2023 - 19:44;-3;نتمناو الحل لهاد الإضرابات لدايرين حيت هادشي بزاف أو ولادنا غادي اضيعوا
أحمد;الإثنين 30 أكتوبر 2023 - 19:48;0;"يجب حذف الفقرة2 من المادة82 التي تكرس الحيف والحݣرة على مفتشي التوجيه غير الممارسين دون غيرهم من المفتشين حيث تحرمهم من ممارسة التفتيش التي يحددها القانون وتفرض عليهم سد الخصاص من المستشارين.
لماذا مفتشي التوجيه دون غيرهم؟
من وراء إقحام هذه المادةالمشؤومة بخبث؟"
سعيد;الإثنين 30 أكتوبر 2023 - 20:01;8;حكومة فاشلة في جميع المجالات والنقابات لا تمتلنا ولا تنازل عن حقوقنا المشروعة
مواطن مغربي;الإثنين 30 أكتوبر 2023 - 20:02;6;نطالب الحكومة و النقابات بسن يوم السبت عطلة عمومية في قطاع التعليم كباقي الادارات و القطاعات
مواطن;الإثنين 30 أكتوبر 2023 - 20:50;9;وأوضحت رئاسة الحكومة، في بلاغ لها، أن “هذه الاجتماعات تأتي على ضوء التطورات التي يعرفها تنزيل إصلاح منظومة التعليم.” لحد الأن لم نرى أي إصلاح باستثناء الإجهاز على ماتبقى من حقوق الأساتذة. الإصلاح الحقيقي هو إعادة الإعتبار لسادة الأساتذة!
مكناسي;الإثنين 30 أكتوبر 2023 - 21:31;4;الحوار مع ما يسمى بالنقابات هو فقط مضيعة للوق.. ومزيد من هدر الزمن المدرسي لأبنائنا في الثانويات والمدارس… فهذه النقابات لم تعد لها أية شرعية … لأنها في الحقيقة لا تمثل أحدا… والدلبل هو أنها لم تدع الى أي إضراب… وخرج ما يزيد عن 90٪ من المضربين…!!! … وحتى تلك الفئة التي لم تضرب… امتنعت فقط خوفا من الاقتطاع.. ليس الا.
Rami;الإثنين 30 أكتوبر 2023 - 21:37;3;وضعية التعليم في بلادنا تحتاج تفكيرا و عملا جديا و مجهودا كبيرا يجب العمل على اسس واستراتيجيات جديدة لي غيكون لها الفضل تغير من مجال التعليم للافضل
Latifa;الإثنين 30 أكتوبر 2023 - 21:38;1;الحكومة اليوم يجب ان نكثف مجهوداتها لمواجهة المشاكل و الصعوبات التي يعاني منها المواطن المغربي و تحقيق اهداف البرنامج الحكومي
Noura;الإثنين 30 أكتوبر 2023 - 21:38;-4;رغم التحولات الاقتصادية و الاجتماعية… الا ان الحكومة بالفعل سعت لتنزيل الاولويات و التخفيف من التحديات لي كتمس بالعديد من المجالات، و هدشي لي خلا امل ان الحكومة قادرة على التغيير
Hasan;الإثنين 30 أكتوبر 2023 - 21:39;-1;فضل ان بلادنا محتاجة الاصلاحات و الخدمة المعقولة، واجب الحكومة تلقا الحلول و تصلح القطاعات و والمجالات المتضررة
Hamid;الإثنين 30 أكتوبر 2023 - 21:39;-3;العمل والوفاء هم الوسيلة لكسب الثقة، وارجاع الانتعاش للمجالات لي عرفت تضررا من الازمات لي مرت، وتفاعل الحكومة تلعب دورا كبيرا بمجهوداتها وقرراتها لتحقيق هذا المبتغى
Aicha;الإثنين 30 أكتوبر 2023 - 21:40;-2;فهاد الظرفية، مكونات الحكومة خاص تكون على اتم المسؤولية للخروج بحلول مناسبة وفعالة للاستجابة لمطالب المواطن
Rachid;الإثنين 30 أكتوبر 2023 - 21:40;-3;نجاح عمل الحكومة يتمثل فالانسجام و التعاون فهاد المرحلة باش تجاوز بلادنا هاد الازمات الاقتصادية و الاجتماعية وترجع احسن من لول
Hind;الإثنين 30 أكتوبر 2023 - 21:41;3;النهوض بقطاع التعليم ينبغي عملا جديا مستمرا نتمنى ايجاد الحلول في اسرع وقت
من....إذن;الإثنين 30 أكتوبر 2023 - 21:55;-8;"يبدو أن جل المواطنين ذاقوا مرارة التهور و التسيب في القطاع فهرعوا نحو الخواص إلى أساتذة يتقاضون نصف أجرة أستاذ العمومي و يدرس ضعف حصصه، حيث جودة الانضباط و الخدمات ، و نفصل الأمر كالتالي : رجال الدلع المدرسي سيبقون يتمنون أن تبقى دار لقمان على حالها ، دون حسيب او رقيب ، فمرة إضرابات و احتجاجات و مرة ثانية غيابات بالجملة و تقديم شواهد طبية عند الحد الأقصى من مراقبة المدير ، هذا الأخير الذي أصبح يخشى مؤامرة المدلعين خاصة تهديده بالنقابات و الرسائل المجهولة التي يتقن رجال الدلع المدرسي التصرف فيها .
و الجميع يعلم أن المدلعين غارقون في امتيازات ليست الا لهم و منها:
* رواتب جيدة مرتبة في السلمين 11 و خارج السلم اي 8500 إلى 22500 درهم حسب المهمة و الاقدمية.
* نصف سنة عطلة ما بين بينية و وطنية و دينية و صيفية.
* نصف الزمن المدرسي اي تدريس فترة مسائية او صباحية
* امتيازات اجتماعية هائلة فثمة تخفيضات في الفنادق و عند شراء المنازل و الهواتف و الحواسيب المحمولة و عند أداء فواتير الانترنت و غيرها أقلها خصم الربع من الفاتورة الأصلية."
ابراهيم;الإثنين 30 أكتوبر 2023 - 22:40;-5;الحوارات الاجتماعية التي تقوم به الحكومة إيجابية ومسؤولة ويسودها الاحترام التام وتبادل الاراء وإيجاد الحلول التي تهم الموظفين والشغيلة
محمد;الإثنين 30 أكتوبر 2023 - 22:43;-4;الحكومة تقوم بالدور المحوري في تحقيق التنمية المستدمة وتعزيز التقدم الاجتماعي والاقتصادي عبر خلق حوار الاجتماعي مع نقابات النقابات التعليمية
عمر;الإثنين 30 أكتوبر 2023 - 22:45;-5;رغم الظروف الاستثنائية التي تمر بها بلادنا، لا يمكننا أن ننكر أن الحكومة خلقت حوار اجتماعي مع جميع النقابات وان جميع التدخلات التي قامت بها في جميع القطاعات كانت تدخلات في المتسوى
مهدي;الإثنين 30 أكتوبر 2023 - 22:50;-4;ثقتنا في الحكومة كبيرة والحوار الاجتماعي من أساسيات بناء مجتمع ناجح ومتماسك
اب متضرر;الإثنين 30 أكتوبر 2023 - 22:58;-1;الله ياخد الحق ….حسبنا الله ونعم الوكيل ….حسبنا الله ونعم الوكيل ….حسبنا الله ونعم الوكيل
ملاك;الإثنين 30 أكتوبر 2023 - 22:59;-4;جلوس الحكومة اليوم مع النقابات التعليمية للارتقاء بالمنظومة التعليمية يتبث انها حكومة الحوارات بامتياز والتي تعرف ان الحوار أساسي على مستوى السلم الاجتماعي والتنمية الاقتصادية والاجتماعية
مغيوقع والو;الإثنين 30 أكتوبر 2023 - 23:04;-6;نطالب الحكومة بخوصصة التعليم.المدرسة العموميه لا فائدة منها
تعليق 1;الإثنين 30 أكتوبر 2023 - 23:40;-2;للكاميرات كاينين هنا فامريكا فالأ قسام ،ؤدايرين بالمؤسسة كلها .
محمد;الثلاثاء 31 أكتوبر 2023 - 07:33;1;أقول لصاحب التعليق رقم 1 مردودية الأستاد لا علاقة لها بوضع كاميرات داخل القسم.هناك مراقبين تربؤيين ( مفتشين، مديرين، حراس عامين…) يقومون بدورهم في تحصيل التلاميد و نتائج الإمتحانات تبين عمل الأستاد داخل القسم. الكاميرات قد تحد من حرية التلاميد في التعبير داخل القسم و قد تخلق مشاكل كثيرة في نفسية الأطفال. للأستاد حقوق و عليه واجبات. لا يمكن لأي شخص أن يقوم بعمل و هو مهضوم قي حقه. التحفيز المادي و الإستقرار الوضيفي هم الركائزة الأساسية لمردودية الأجير و جودة خدماته.
